Arab World,ARB,"Population ages 15-64, female",SP.POP.1564.FE.IN,24606284,25095840,25621222,26189280,26815450,27507966,28158552,28896553,29699656,30540487,31408036,32198716,33039217,33942955,34926832,35998749,37110196,38314196,39594051,40932515,42317704,43678068,45097630,46566730,48061492,49609495,51075677,52571598,54101509,55665021,57808851,59606958,60912069,62877755,64963147,67525662,69721666,71973595,74265701,76613495,79009737,81382233,83817892,86312543,88863018,91462031,94135217,96861910,99602179,102297142,104900868,107330033,109697602,112024488,114343742
Arab World,ARB,"Population ages 15-64, male",SP.POP.1564.MA.IN,24683354,25174231,25714216,26305559,26954854,27666205,28330428,29081590,29901268,30767254,31671692,32514056,33418033,34399564,35477968,36661788,37936923,39314534,40771592,42283782,43835164,45330091,46875241,48466653,50087186,51768893,53397583,55071285,56788397,58547867,60909604,62947592,64329794,66509540,68786437,71769273,74034142,76310629,78607629,80983804,83470323,86083450,88833309,91724328,94761993,97941498,101328202,104859065,108430997,111908191,115193013,118146826,120948814,123626848,126230124
Caribbean small states,CSS,"Population ages 15-64, female",SP.POP.1564.FE.IN,1118166,1129746,1141938,1154739,1167756,1180476,1189522,1197584,1205355,1213707,1223673,1247615,1271436,1295856,1321939,1349927,1381744,1414434,1446565,1476441,1503864,1534286,1563115,1590855,1619286,1648026,1669222,1690731,1710459,1731657,1748826,1768664,1786864,1804530,1824182,1846794,1874413,1901305,1927499,1950560,1971484,2001140,2028004,2053968,2079416,2104535,2130378,2155789,2181059,2206339,2231510,2257376,2283176,2308183,2331426
Caribbean small states,CSS,"Population ages 15-64, male",SP.POP.1564.MA.IN,1027155,1039823,1053081,1066849,1080707,1094159,1103523,1113154,1123669,1135403,1148685,1173587,1197205,1220872,1246415,1274705,1310196,1347108,1384074,1419154,1451844,1485353,1517749,1548663,1579203,1608958,1630750,1651960,1671502,1693397,1712562,1733432,1753570,1773535,1794838,1818117,1847922,1876518,1904092,1928420,1950203,1974985,1996731,2017788,2038960,2060880,2088567,2116666,2145457,2174748,2203820,2230794,2257313,2282894,2306552
Central Europe and the Baltics,CEB,"Population ages 15-64, female",SP.POP.1564.FE.IN,30100020,30307741,30554272,30866591,31219015,31529732,31885828,32278902,32640727,32970119,33245712,33424224,33715532,34021039,34300338,34537344,34717640,34796522,34813678,34852940,34996945,35199084,35499893,35851105,36165935,36400867,36584652,36681798,36732724,36732807,36754705,36616231,36616568,36792780,36935010,37053287,37085104,37190501,37243678,37356237,37289142,37227005,37135767,37165110,37198595,37216849,37200268,37074113,36955736,36856960,36646950,36364833,36113688,35843250,35520872
Central Europe and the Baltics,CEB,"Population ages 15-64, male",SP.POP.1564.MA.IN,28003419,28280825,28603594,28994116,29421990,29805897,30211187,30646466,31051773,31432714,31770889,31985969,32319067,32675098,33013347,33316226,33539935,33671262,33746274,33843826,34041273,34249879,34547267,34891965,35210638,35469420,35658424,35782515,35875662,35922192,35984425,35845710,35844089,36020854,36171971,36312142,36341234,36452751,36523657,36666299,36644218,36614055,36564993,36644604,36733985,36810152,36814365,36710404,36615588,36546544,36378474,36110146,35882963,35647868,35371729
East Asia & Pacific (all income levels),EAS,"Population ages 15-64, female",SP.POP.1564.FE.IN,286684518,287285803,289994610,295575206,301662170,308905852,315853432,323602088,332052348,341606778,350841075,359530665,368094078,376547594,385644714,394772163,403893679,413428217,423715538,434820585,446341479,459118448,472456207,485791245,498744289,511690109,523615924,535846943,547832447,559267640,570161081,578910000,588034696,597349462,606629459,615649386,626512631,636372479,645937462,656050785,667159479,678241788,689873868,701799421,713431003,724395710,733888870,742908113,751387315,758714669,764799225,770160917,774404126,777653290,780349656
East Asia & Pacific (all income levels),EAS,"Population ages 15-64, male",SP.POP.1564.MA.IN,299372110,299502831,301852589,307213518,313134678,320404373,327484159,335564756,344547762,354699218,364558595,373788077,382813101,391705818,401262734,410913408,420310732,430267989,441078657,452684645,464587089,477706579,491269668,504768747,517953640,531300296,543577972,556278769,568780509,580684812,591960058,600668461,609796105,619125054,628405770,637408741,648146965,657895185,667403194,677576105,688898705,700142517,711995226,724250804,736353778,747929825,757912398,767580570,776801028,784867844,791656409,797492185,802245778,806047577,809353161
East Asia & Pacific (developing only),EAP,"Population ages 15-64, female",SP.POP.1564.FE.IN,244114454,243264179,244983674,249562074,254672408,260968809,267033758,273952189,281816760,290204964,298647612,306431700,314183879,322081249,330148506,338334427,346934263,355717107,365194832,375474707,386262595,398088792,410621781,423250729,435501631,447687431,458871285,470254062,481353570,491952284,502175513,510236166,518887021,527837531,536707381,545272085,555750749,565300350,574571125,584495941,595440983,606282410,617755301,629591838,641166542,652097324,661510464,670510220,678864276,686198923,692359817,697858094,702279514,705769145,708731806
East Asia & Pacific (developing only),EAP,"Population ages 15-64, male",SP.POP.1564.MA.IN,258215158,256895708,258216573,262538805,267463941,273788724,280014995,287316584,295762398,304807955,313883691,322134447,330240880,338439603,346842219,355430159,364236677,373374444,383304144,393998038,405074023,417157020,429824928,442521219,454895120,467358233,478796599,490539602,502042208,513005136,523522426,531488020,540092729,549010596,557831028,566324585,576691783,586135439,595353627,605347399,616521652,627538999,639255882,651444733,663505737,675045776,684981348,694641489,703722695,711763392,718583157,724556598,729474913,733482470,737006375
